zcr,rms_energy,mean_chroma,spec_flat,hf_contrast,mf_contrast,lf_contrast
8.304482066898685733e-02,1.302279233932495117e-01,3.500881195068359375e-01,4.498349502682685852e-03,1.598797329208550977e+01,1.510725966671453513e+01,4.937703375424194263e+01
5.603980870552977694e-02,9.594780951738357544e-02,3.409135639667510986e-01,2.297672443091869354e-03,1.598417882788856481e+01,1.706594195131122405e+01,4.602897938584879967e+01
7.629120746326373270e-02,1.755704134702682495e-01,3.636372089385986328e-01,2.630935981869697571e-03,2.634609969310427147e+01,1.419421673223085278e+01,5.132489231603853597e+01
3.330886262567672035e-02,1.410930007696151733e-01,4.047847092151641846e-01,9.540272294543683529e-04,2.977832495842025295e+01,1.476235092611409527e+01,4.711507045001471283e+01
1.014605387180974455e-01,9.152871370315551758e-02,3.085260391235351562e-01,3.237786237150430679e-03,1.706060647361514881e+01,1.570297897285796118e+01,5.011532433995829194e+01
9.404153373936581517e-02,1.034936383366584778e-01,3.024562895298004150e-01,3.060848219320178032e-03,1.747326338434384496e+01,1.956142303896146828e+01,4.909090671557061825e+01
7.305223740815931788e-02,1.418741494417190552e-01,2.913279831409454346e-01,9.689302532933652401e-04,2.475512677734950628e+01,2.108010878583751690e+01,4.995685280960235275e+01
6.144224610885537508e-02,1.318221837282180786e-01,3.079547882080078125e-01,1.436207676306366920e-03,2.019849416649614327e+01,2.009970942523806059e+01,4.903303070542383324e+01
6.402488761600927392e-02,1.424164921045303345e-01,4.088792204856872559e-01,2.594457240775227547e-03,2.949701324096086097e+01,1.514627293535426844e+01,4.903895320510565625e+01
7.917482356921887177e-02,8.131366223096847534e-02,2.739503979682922363e-01,2.708275103941559792e-03,1.433794049401601178e+01,1.763540021733139085e+01,4.732210517358207369e+01
6.295882576856148827e-02,1.428650617599487305e-01,3.039932847023010254e-01,1.244597136974334717e-03,1.616823436836427064e+01,1.638358603317876927e+01,5.093883298421132366e+01
4.393058475928074413e-02,6.574068963527679443e-02,3.671520650386810303e-01,3.280784934759140015e-03,2.749067032868639870e+01,1.688438833130301830e+01,4.246135436843146493e+01
6.909500676720804757e-02,1.190460547804832458e-01,2.693911194801330566e-01,7.674354710616171360e-04,1.691017516520187414e+01,1.889617321412909945e+01,4.759171136120566104e+01
5.140170328209590217e-02,1.131698265671730042e-01,2.647128105163574219e-01,1.190882176160812378e-03,1.705673524856317869e+01,1.854899922017137470e+01,4.660908822250144112e+01
4.503667585073472396e-02,6.705453246831893921e-02,3.290363252162933350e-01,4.707424668595194817e-04,1.768311875596629790e+01,1.968944937751167856e+01,4.363059859542592278e+01
6.370125495456303855e-02,8.062402158975601196e-02,2.696904242038726807e-01,1.103250775486230850e-03,1.686099125519463371e+01,1.857611870261129638e+01,4.594239189887518648e+01
6.134406117072699338e-02,8.147174865007400513e-02,3.041855394840240479e-01,1.300859381444752216e-03,1.685036811967327353e+01,1.797850251101005270e+01,4.602396253491129130e+01
4.832624891241299458e-02,9.330607950687408447e-02,3.021239936351776123e-01,4.600378160830587149e-04,1.596028194534813416e+01,1.899007846843066361e+01,4.701241585572969939e+01
5.614176998743232450e-02,7.970637083053588867e-02,2.699322998523712158e-01,1.477617421187460423e-03,1.818412590046611399e+01,1.869149161862053177e+01,4.502559164047666940e+01
5.888603900812065112e-02,9.765975177288055420e-02,2.573248147964477539e-01,6.415893440134823322e-04,1.651249480913480028e+01,1.833225094814633493e+01,4.769627707664820093e+01
5.258634232405259151e-02,7.547449320554733276e-02,3.026115894317626953e-01,1.652241102419793606e-03,1.632316608277070813e+01,1.595692209784611748e+01,4.548319687063789019e+01
4.790745238785769355e-02,1.011320799589157104e-01,3.211003839969635010e-01,3.964570059906691313e-04,1.933627132169363705e+01,1.865975524216830550e+01,4.577094637556352552e+01
5.856995903422274052e-02,1.134258508682250977e-01,3.065367937088012695e-01,4.217367095407098532e-04,1.865252187146955976e+01,1.791106220917820124e+01,4.731515756955104024e+01
5.246700986078886575e-02,1.020351648330688477e-01,2.808226644992828369e-01,5.482897395268082619e-04,1.607477587750578607e+01,1.950114424772726451e+01,4.710520466642630311e+01
4.727604770881670831e-02,8.694726973772048950e-02,2.631122171878814697e-01,3.224234387744218111e-04,1.602314165994767237e+01,2.171151300891385461e+01,4.534592815810358957e+01
5.169739099961330464e-02,8.921521902084350586e-02,2.909597456455230713e-01,3.999181790277361870e-04,1.445036308940558989e+01,1.832147364451055793e+01,4.577296686405703952e+01
5.197268646075019205e-02,7.711019366979598999e-02,2.783784270286560059e-01,4.546165291685611010e-04,1.746045697165036614e+01,1.993665692246571552e+01,4.426107154307495506e+01
7.241441294470224443e-02,9.581015259027481079e-02,2.887073457241058350e-01,4.508814308792352676e-04,1.853932014103724057e+01,1.993140281699689353e+01,4.807199198762763359e+01
4.801998743232791661e-02,9.966677427291870117e-02,2.761554718017578125e-01,3.726551367435604334e-04,1.510021482202082055e+01,2.020856789332667347e+01,4.624657615785863385e+01
5.289486961040216345e-02,1.247364804148674011e-01,2.803565263748168945e-01,1.489077578298747540e-03,3.519497245722894974e+01,2.150426705078045586e+01,4.666368705069003653e+01
3.936611803944315563e-02,1.700620651245117188e-01,2.631938755512237549e-01,6.982598570175468922e-04,3.673697166274406101e+01,2.167919411711109845e+01,4.758454742231512569e+01
4.294722484048724143e-02,1.515176445245742798e-01,2.535532116889953613e-01,5.796187906526029110e-04,3.622560320766015707e+01,2.261202892553484034e+01,4.838705958552742459e+01
3.938839846771075015e-02,1.013213545083999634e-01,2.762447893619537354e-01,1.230232883244752884e-03,3.695500780351702019e+01,2.447920762081924551e+01,4.364607090358113339e+01
4.197368341550657134e-02,1.332135051488876343e-01,2.606352865695953369e-01,8.047100272960960865e-04,3.702923844122582153e+01,2.167584788300954202e+01,4.626004525398328582e+01
4.570244525812065112e-02,1.359353959560394287e-01,2.623637914657592773e-01,8.913436322472989559e-04,3.541806863470890221e+01,2.196596213935834996e+01,4.707346832605132647e+01
4.541997474381283956e-02,1.733787208795547485e-01,2.883848249912261963e-01,9.744797716848552227e-04,3.494083914079368469e+01,2.153499296474478797e+01,4.882729980431930983e+01
3.690734060808197742e-02,1.977468281984329224e-01,2.333981245756149292e-01,4.499142523854970932e-04,3.618619748109159673e+01,2.166709926755193649e+01,4.877158451262680217e+01
4.816386613012374474e-02,6.918843835592269897e-02,2.486340850591659546e-01,4.346892528701573610e-04,3.274379706507121313e+01,2.119742434095254424e+01,4.356320969129873077e+01
4.437317224961330464e-02,1.680838316679000854e-01,2.658880949020385742e-01,1.087802229449152946e-03,3.481722663571475351e+01,2.359809922357184320e+01,4.773250278350281661e+01
3.532089858855375075e-02,8.586248010396957397e-02,2.552458345890045166e-01,7.772262324579060078e-04,3.666568000664534566e+01,2.250387760054007913e+01,4.417891995446922238e+01
9.764303279679041603e-02,1.348919868469238281e-01,3.979959189891815186e-01,5.724778398871421814e-03,1.836263882872169262e+01,1.484257965534805557e+01,4.784764655852157489e+01
1.022607459638437688e-01,1.291658431291580200e-01,3.868677318096160889e-01,7.607426028698682785e-03,1.973291686098986730e+01,1.457337777908287180e+01,4.744676447254212803e+01
9.782391966357308066e-02,1.110012829303741455e-01,3.775384724140167236e-01,3.887586528435349464e-03,2.257474197706148900e+01,1.749497432652828266e+01,4.658341818714287541e+01
8.717463022041763154e-02,1.273855566978454590e-01,3.989205956459045410e-01,6.467208731919527054e-03,1.928067756815980971e+01,1.413361594072692462e+01,4.696855734369130886e+01
9.252533171403712342e-02,1.363209187984466553e-01,3.901749253273010254e-01,5.397253204137086868e-03,1.986232118634924504e+01,1.450634226719780884e+01,4.763781281948085677e+01
4.804831001063418483e-02,1.483584344387054443e-01,4.294368028640747070e-01,1.698044943623244762e-03,2.418679358948354263e+01,1.585253014183930986e+01,4.477972182767062748e+01
5.845780162412993197e-02,1.026016324758529663e-01,3.879674673080444336e-01,3.215324832126498222e-03,2.101973957365510159e+01,1.657073288272509259e+01,4.379800384190740914e+01
7.532370818832173631e-02,1.122592911124229431e-01,3.364204168319702148e-01,3.196191508322954178e-03,2.365618726434925989e+01,1.590061717011598397e+01,4.646612219447323611e+01
9.876687270398298857e-02,1.239691078662872314e-01,3.795294463634490967e-01,5.732528399676084518e-03,2.057523511112907499e+01,1.495092304470446365e+01,4.832436124447010428e+01
3.996126981825212643e-02,8.858688175678253174e-02,2.775753736495971680e-01,1.064273412339389324e-03,2.549503845146296399e+01,1.909440353017374647e+01,4.260923037464388585e+01
8.579060022718483502e-02,1.823381781578063965e-01,4.009360373020172119e-01,4.335533361881971359e-03,1.998296886641909609e+01,1.590066602992201616e+01,4.886746806547828470e+01
1.066016531322505762e-01,1.966755539178848267e-01,3.936876654624938965e-01,4.595556296408176422e-03,2.230825907730455526e+01,1.447537845094960218e+01,5.123009801623403803e+01
6.718795316125289463e-02,9.888217598199844360e-02,3.390077650547027588e-01,2.017721766605973244e-03,2.448271177395355380e+01,1.875652018874413329e+01,4.511407298363694451e+01
1.328151434406419085e-01,1.683437675237655640e-01,4.124447107315063477e-01,5.953852552920579910e-03,2.042838306326437703e+01,1.491943427405088407e+01,5.063181981801102438e+01
1.033989359773781896e-01,2.009461224079132080e-01,4.527457654476165771e-01,5.865622777491807938e-03,2.176647122217542218e+01,1.369018141023666857e+01,5.016802406981972240e+01
1.131192448520881716e-01,1.577416509389877319e-01,4.329365491867065430e-01,4.766665399074554443e-03,1.968636240794815961e+01,1.450299030237041187e+01,4.913317536665872609e+01
7.550308451759474293e-02,1.378711462020874023e-01,3.910510241985321045e-01,3.524502972140908241e-03,2.496167018203950860e+01,1.914207801404279863e+01,4.755798910040610394e+01
8.993966913186388079e-02,1.759753972291946411e-01,4.243854582309722900e-01,4.028850700706243515e-03,2.297773731110282824e+01,1.534588611317115792e+01,4.947606236538140223e+01
1.043517075116009302e-01,1.619926095008850098e-01,3.566419780254364014e-01,5.036971531808376312e-03,2.082224213656601464e+01,1.655145367883949703e+01,4.960119267320526859e+01
1.422416527697215882e-01,1.699792742729187012e-01,4.058392345905303955e-01,5.861847195774316788e-03,2.056949303290880948e+01,1.511727944594518469e+01,4.947772874139163690e+01
9.742287195475637929e-02,1.963073313236236572e-01,4.308072924613952637e-01,4.137518815696239471e-03,2.073761420822414436e+01,1.433367150049503991e+01,5.001189169953875080e+01
1.675337151972157712e-01,1.417258679866790771e-01,4.519388377666473389e-01,5.138886161148548126e-03,1.915133794340047402e+01,1.498400338178115732e+01,5.058006868159704084e+01
1.171418062403325605e-01,1.062848195433616638e-01,3.118726313114166260e-01,3.175688209012150764e-03,2.473447168620383252e+01,1.596455619523202074e+01,4.919838903088479753e+01
1.544105429476024804e-01,9.627349674701690674e-02,3.302313685417175293e-01,1.107460912317037582e-02,2.295169024793980483e+01,1.632088705790395622e+01,4.773460688622439818e+01
1.468329315303557592e-01,1.174324229359626770e-01,3.326500058174133301e-01,1.058988459408283234e-02,2.201570831595838840e+01,1.489662471349898532e+01,4.898571944178168280e+01
1.462819629737045768e-01,1.003632396459579468e-01,2.928373813629150391e-01,1.002520322799682617e-02,2.025445943100573132e+01,1.641451048463229512e+01,4.848003651305686645e+01
1.217916183294663612e-01,1.104610785841941833e-01,3.745931684970855713e-01,6.874796003103256226e-03,2.367710585276294921e+01,1.423606586640984695e+01,4.887815014502551492e+01
1.127057352088167014e-01,1.291104853153228760e-01,3.379056155681610107e-01,5.755155347287654877e-03,2.207880652619195061e+01,1.531803285238289725e+01,4.986784115415098739e+01
1.351073841115622565e-01,1.031172946095466614e-01,2.898394167423248291e-01,9.354419074952602386e-03,2.185213017350995912e+01,1.418022796466541635e+01,4.833897306434983676e+01
1.251287733226991439e-01,1.165231093764305115e-01,2.920013070106506348e-01,4.091911483556032181e-03,2.069664485983443569e+01,1.652688093320690044e+01,5.011276731632526094e+01
9.834769854505026609e-02,1.061368584632873535e-01,3.228092193603515625e-01,4.830973222851753235e-03,2.227822067473121592e+01,1.650907315786288621e+01,4.984237693155685633e+01
1.346413832898298579e-01,1.205598488450050354e-01,3.051750957965850830e-01,8.373949676752090454e-03,2.310353862331009367e+01,1.440822321734712119e+01,4.917896994226857288e+01
1.291906086861948910e-01,1.039118692278862000e-01,3.069658279418945312e-01,7.876731455326080322e-03,2.295679061866481874e+01,1.737828166575717148e+01,4.853705986451252841e+01
1.005402437403325605e-01,2.597230672836303711e-01,3.418802618980407715e-01,6.052608136087656021e-03,1.912690246360881829e+01,1.651037829144823021e+01,5.082716046428530632e+01
1.208902050705723125e-01,1.970232725143432617e-01,3.671615719795227051e-01,1.097000576555728912e-02,1.691612612193258158e+01,1.491220559269654089e+01,4.912263770444888422e+01
