zcr,rms_energy,mean_chroma,spec_flat,hf_contrast,mf_contrast,lf_contrast
1.072048611111111049e-01,2.484183907508850098e-01,3.840266764163970947e-01,2.959997206926345825e-02,2.377893008047355394e+01,1.734009010190409583e+01,2.400397857573500460e+01
1.269882449970997640e-01,2.305164784193038940e-01,4.140324890613555908e-01,4.416445270180702209e-02,2.253295251509629438e+01,1.448173587223459968e+01,2.282976435983548669e+01
7.416238114009938986e-02,1.465864032506942749e-01,2.970454692840576172e-01,1.618849672377109528e-02,1.877947279080692056e+01,1.968029612118435168e+01,2.477771420176800632e+01
1.025643835864938069e-01,2.043635845184326172e-01,3.768944144248962402e-01,1.975339651107788086e-02,2.221496290315617372e+01,1.811666854640781921e+01,2.817949115569022922e+01
1.241610028057275605e-01,2.094975709915161133e-01,3.827809989452362061e-01,4.353614524006843567e-02,2.233870474831727293e+01,1.569632432366797481e+01,2.302950531927738353e+01
1.363724937643898683e-01,2.039256244897842407e-01,4.160605669021606445e-01,4.768804088234901428e-02,2.149907773630484797e+01,1.488559203151400645e+01,2.375440693726655184e+01
1.283081334879495050e-01,2.141377180814743042e-01,4.214858412742614746e-01,4.107150062918663025e-02,2.187926619499310021e+01,1.598936087285398777e+01,2.413031958718925196e+01
1.129358250290247723e-01,2.441990375518798828e-01,4.215384125709533691e-01,3.346247598528862000e-02,2.403048582196807459e+01,1.614357544381325837e+01,2.362076299367114629e+01
1.045625873409791878e-01,2.745161950588226318e-01,3.553020358085632324e-01,2.054232545197010040e-02,2.368665796696931736e+01,1.633075474880057598e+01,2.693619895672260256e+01
1.568727846498842726e-01,2.365542501211166382e-01,4.296525120735168457e-01,6.695511937141418457e-02,2.033237640523227796e+01,1.499013898819554313e+01,2.224924428168641555e+01
7.654006851798143829e-02,7.470065355300903320e-02,2.915408015251159668e-01,1.242087874561548233e-02,2.270527931586290649e+01,1.866324792569539071e+01,2.830804969133851401e+01
1.101627453112915683e-01,7.849885523319244385e-02,3.009022772312164307e-01,2.790277823805809021e-02,2.275159424657943674e+01,1.904098995679356321e+01,2.591469154495117166e+01
6.405358782869295664e-02,1.269638240337371826e-01,2.965644001960754395e-01,1.178963202983140945e-02,2.352141106463504627e+01,1.718710742590057095e+01,2.939439159355389108e+01
1.295221716695668934e-01,8.004845678806304932e-02,3.680890500545501709e-01,4.332482069730758667e-02,2.149313271653250013e+01,1.436921182120081397e+01,2.412604301815651553e+01
1.247839931361175575e-01,9.264493733644485474e-02,3.649820387363433838e-01,4.536347836256027222e-02,2.269567401265862117e+01,1.640279446672374419e+01,2.295001766254834763e+01
9.423639307811292054e-02,1.048010438680648804e-01,3.794479072093963623e-01,1.690837368369102478e-02,2.526380311471340434e+01,1.396594950813928016e+01,2.929685327570338416e+01
6.019529739462490397e-02,7.984656840562820435e-02,3.224887549877166748e-01,3.878333140164613724e-03,2.516735505815715612e+01,1.782004857949527477e+01,3.406472472767242010e+01
6.387005752126836966e-02,8.872513473033905029e-02,3.573404252529144287e-01,7.315933704376220703e-03,2.216780659368827600e+01,1.446935475690013995e+01,2.936624750692812214e+01
9.558907941802011199e-02,9.679351001977920532e-02,3.700265884399414062e-01,1.518701668828725815e-02,2.224081702317794296e+01,1.774088978304147091e+01,2.734525034595740678e+01
5.094476568542150030e-02,8.208913356065750122e-02,3.156519830226898193e-01,1.373487757518887520e-03,2.295135473339431442e+01,1.886757054883607410e+01,3.353184716160404832e+01
8.680454853054911379e-02,1.052123159170150757e-01,3.652931749820709229e-01,2.165984548628330231e-02,2.231574744692590428e+01,2.056702606038932402e+01,2.533807015672095275e+01
4.564919881090487297e-02,1.098643913865089417e-01,2.892020344734191895e-01,1.135278609581291676e-03,2.648746396776460799e+01,1.764944888528301448e+01,3.433745000172959294e+01
6.805726749806650933e-02,7.515671849250793457e-02,3.215033710002899170e-01,6.829553283751010895e-03,2.379968232807343398e+01,1.606947829096483105e+01,2.818571719721390423e+01
3.546364438321732149e-02,3.892014548182487488e-02,3.053719103336334229e-01,5.858687683939933777e-03,2.694117325134082108e+01,1.998020844146391894e+01,2.661895816004612314e+01
8.241794760247486695e-02,9.658227860927581787e-02,2.703538239002227783e-01,6.644526962190866470e-03,2.221230192098486711e+01,1.869276369430441775e+01,3.182325966914761040e+01
5.727693892594740849e-02,7.989732921123504639e-02,3.472941517829895020e-01,8.660774677991867065e-03,2.346915669446554276e+01,1.965120093942859469e+01,2.846152270343087309e+01
5.480418902262181036e-02,1.005648151040077209e-01,3.298977911472320557e-01,4.044494125992059708e-03,2.220238573764162027e+01,1.794160028419727837e+01,3.163361211318368404e+01
9.735036615429233653e-02,1.166444346308708191e-01,3.918275237083435059e-01,1.698537915945053101e-02,2.974975392369214333e+01,1.600485745476017740e+01,2.742437035420783076e+01
5.981539721094353973e-02,9.411196410655975342e-02,3.182273507118225098e-01,4.391527734696865082e-03,2.764677771312210197e+01,1.732417016384833985e+01,3.000468159205230378e+01
5.421054778132250451e-02,1.171081289649009705e-01,3.099286258220672607e-01,2.746967365965247154e-03,2.097011649262376665e+01,1.693558274953842613e+01,3.361333005239767147e+01
4.283431216163959693e-02,7.959754019975662231e-02,2.214398235082626343e-01,2.380721736699342728e-03,2.529188541773227428e+01,1.987089460967067467e+01,3.059117208303785063e+01
9.532511298820572909e-02,1.008553057909011841e-01,3.133991956710815430e-01,1.533352863043546677e-02,1.948876868990238975e+01,1.913671499645582230e+01,2.943535633433732812e+01
6.758635742942768754e-02,6.052462384104728699e-02,3.310410976409912109e-01,9.251101873815059662e-03,2.820824918275482318e+01,2.129965093373980878e+01,2.934552753059096375e+01
1.236318306506187098e-01,1.046445891261100769e-01,3.169027864933013916e-01,2.259276807308197021e-02,2.552407888212971443e+01,1.726100803239130599e+01,2.745028039873154313e+01
