zero_crossing_rate,RMS_energy,mean_Chromagram,spectral_flatness
9.652545382318952760e-02,1.421838998794555664e-01,4.454765021800994873e-01,3.386307880282402039e-02
1.885523173483102943e-01,1.772209256887435913e-01,4.106862246990203857e-01,8.106463402509689331e-02
1.533384389501160072e-01,1.613253057003021240e-01,4.120789766311645508e-01,6.651104241609573364e-02
1.495607339559386906e-01,1.963644772768020630e-01,4.950371682643890381e-01,5.720909312367439270e-02
1.690144195910672775e-01,1.145965158939361572e-01,3.821069300174713135e-01,6.944665312767028809e-02
1.446281579262451988e-01,2.069209218025207520e-01,4.480499327182769775e-01,4.601041600108146667e-02
1.636452140129543709e-01,1.919864565134048462e-01,4.739753305912017822e-01,5.152563378214836121e-02
1.402915488447409043e-01,1.596560925245285034e-01,4.315803945064544678e-01,6.399733573198318481e-02
1.643124669216705080e-01,1.905459761619567871e-01,4.542774260044097900e-01,4.971295222640037537e-02
1.706677028953982878e-01,1.190622672438621521e-01,4.420175254344940186e-01,7.762621343135833740e-02
1.503026361900618724e-01,2.329629808664321899e-01,4.376908838748931885e-01,5.672214552760124207e-02
1.309711547757153871e-01,1.889525949954986572e-01,3.734517693519592285e-01,5.567728728055953979e-02
1.314991138599536924e-01,1.756594777107238770e-01,4.283207356929779053e-01,4.348010197281837463e-02
1.595289992991106021e-01,1.708529144525527954e-01,4.212251603603363037e-01,8.213984966278076172e-02
1.563066889996130027e-01,1.738151758909225464e-01,4.361645877361297607e-01,6.957314163446426392e-02
9.022704889307811560e-02,2.159783989191055298e-01,4.149116277694702148e-01,3.284539654850959778e-02
1.142480842911877403e-01,2.057725638151168823e-01,4.352490305900573730e-01,3.725656494498252869e-02
1.207210248694895599e-01,1.161289066076278687e-01,4.044994115829467773e-01,4.293456673622131348e-02
1.435833877126836688e-01,1.388271003961563110e-01,3.698973953723907471e-01,5.833776295185089111e-02
1.036553497196442408e-01,1.470512002706527710e-01,4.450418353080749512e-01,2.599703520536422729e-02
