zero_crossing_rate,RMS_energy,mean_Chromagram,spectral_flatness
7.841653373936581517e-02,4.674655199050903320e-02,3.445114791393280029e-01,1.162195764482021332e-02
5.929388413573085520e-02,2.279501035809516907e-02,3.279922306537628174e-01,3.554732771590352058e-03
5.785736296403712342e-02,8.084715157747268677e-02,2.677288353443145752e-01,1.085991752916015685e-04
4.464997824825986394e-02,5.946718156337738037e-02,3.192539811134338379e-01,3.730922180693596601e-04
4.775035648685228146e-02,1.087761297821998596e-01,1.719392091035842896e-01,2.725583908613771200e-04
5.787511177977571614e-02,1.075651273131370544e-01,2.481896728277206421e-01,7.664524600841104984e-04
4.803962441995359572e-02,9.862466156482696533e-02,2.748771607875823975e-01,5.358050693757832050e-04
6.482660539926526910e-02,9.382712841033935547e-02,1.972312927246093750e-01,1.873685396276414394e-04
4.626700865235885279e-02,1.185495331883430481e-01,3.573435842990875244e-01,8.642267785035073757e-04
3.168654534029388681e-02,8.535753935575485229e-02,2.671921849250793457e-01,1.544776459923014045e-04
3.306037920533642926e-02,6.417053937911987305e-02,3.296292424201965332e-01,1.152983386418782175e-04
7.688862504833719747e-02,7.120743393898010254e-02,3.004924654960632324e-01,3.388068871572613716e-03
6.368954828886311259e-02,3.755164518952369690e-02,3.637768924236297607e-01,2.790480619296431541e-03
6.107594076276102318e-02,5.548240244388580322e-02,3.143246173858642578e-01,3.262797836214303970e-03
6.491837055297756953e-02,3.932670876383781433e-02,1.986708343029022217e-01,2.835338527802377939e-04
7.355637930201082419e-02,6.239524111151695251e-02,3.327581286430358887e-01,3.304527606815099716e-03
6.984498864075792957e-02,6.056035682559013367e-02,2.495352178812026978e-01,8.390963776037096977e-04
8.414373670726991994e-02,4.986221715807914734e-02,3.454061746597290039e-01,6.570092402398586273e-03
8.770822759570766347e-02,5.226358398795127869e-02,3.534735441207885742e-01,4.842881113290786743e-03
5.545069907675947291e-02,5.021158978343009949e-02,2.482140064239501953e-01,8.433272014372050762e-04
3.296332717034029108e-02,2.711972407996654510e-02,2.891766428947448730e-01,8.911140612326562405e-04
1.813721269576566153e-01,4.797696694731712341e-02,4.327067434787750244e-01,1.881700009107589722e-02
5.122421512470997501e-02,5.050650984048843384e-02,2.015175372362136841e-01,1.256272080354392529e-03
8.013779123163186635e-02,8.780123293399810791e-02,2.211409062147140503e-01,2.698529977351427078e-03
9.322282240912606321e-02,5.886516347527503967e-02,3.489882946014404297e-01,6.010206881910562515e-03
6.359853840390564117e-02,6.937808543443679810e-02,2.682470977306365967e-01,2.357986988499760628e-03
5.861036591260634226e-02,3.196602687239646912e-02,2.018175423145294189e-01,2.450260100886225700e-03
6.268088686678267851e-02,4.061781615018844604e-02,3.251491189002990723e-01,2.673303242772817612e-03
7.490491166376643528e-02,4.876205697655677795e-02,2.764922380447387695e-01,3.264946397393941879e-03
9.937373114849187838e-02,3.634266927838325500e-02,3.041545450687408447e-01,6.687655579298734665e-03
8.464938913863108427e-02,2.959794737398624420e-02,2.351758033037185669e-01,1.366578275337815285e-03
7.237627187258313666e-02,4.359786957502365112e-02,3.110483586788177490e-01,2.690881025046110153e-03
6.138106933971384377e-02,4.053167626261711121e-02,2.807078957557678223e-01,4.012825433164834976e-03
4.233319134280742746e-02,6.979430466890335083e-02,2.739723622798919678e-01,5.840857629664242268e-04
7.934929065158545514e-02,1.300726234912872314e-01,3.116997182369232178e-01,1.089495141059160233e-03
3.772567430394431487e-02,9.149165451526641846e-02,2.646003961563110352e-01,9.185035014525055885e-05
9.950288210556844370e-02,8.055911213159561157e-02,3.223933279514312744e-01,8.411731105297803879e-04
5.150064348897911981e-02,1.066372096538543701e-01,2.848585546016693115e-01,1.020620344206690788e-03
6.639416569992266648e-02,9.779998660087585449e-02,2.856655418872833252e-01,1.494042691774666309e-03
7.648568916763341663e-02,8.227230608463287354e-02,2.476295530796051025e-01,4.391407419461756945e-04
5.484723934164733444e-02,1.380760669708251953e-01,2.367005050182342529e-01,4.970246227458119392e-04
1.005878256718870795e-01,7.826619595289230347e-02,3.081498444080352783e-01,8.761545177549123764e-04
6.118583236658932389e-02,9.951893240213394165e-02,2.850607037544250488e-01,4.962417879141867161e-04
8.571960496423047804e-02,1.117653548717498779e-01,2.540090084075927734e-01,1.885069650597870350e-03
4.966836148975251053e-02,8.651376515626907349e-02,2.764832675457000732e-01,3.101555921602994204e-04
4.262170400715390578e-02,1.003565266728401184e-01,2.786840498447418213e-01,1.636318920645862818e-04
5.863604505027068814e-02,1.105082482099533081e-01,2.504926323890686035e-01,5.775307654403150082e-04
9.353588130800463696e-02,5.391008034348487854e-02,3.585662245750427246e-01,6.632708478718996048e-03
7.930246398878576519e-02,5.867596715688705444e-02,2.825996577739715576e-01,3.265730105340480804e-03
6.476844970514307465e-02,1.843590587377548218e-01,2.099412679672241211e-01,6.714604794979095459e-03
8.126299096903669139e-02,1.905163824558258057e-01,4.100870788097381592e-01,2.337483689188957214e-02
4.243553025908739645e-02,6.979591399431228638e-02,2.739872634410858154e-01,1.472407719120383263e-03
7.725502618178324565e-02,1.884319931268692017e-01,3.662376403808593750e-01,1.391654368489980698e-02
7.952338009957463094e-02,1.300957500934600830e-01,3.117163181304931641e-01,3.939280286431312561e-03
6.482669411707882301e-02,1.623940020799636841e-01,2.782703042030334473e-01,6.569941062480211258e-03
3.777854311678267851e-02,9.149087220430374146e-02,2.645995318889617920e-01,2.667738008312880993e-04
1.147404597355769218e-01,1.983674913644790649e-01,3.726732730865478516e-01,4.089083895087242126e-02
6.185877682714616826e-02,7.813578844070434570e-02,2.341676801443099976e-01,2.460846211761236191e-03
9.960031177494199639e-02,8.056202530860900879e-02,3.224032223224639893e-01,3.113194135949015617e-03
3.801713930407463887e-02,1.824384629726409912e-01,3.164076209068298340e-01,3.990139812231063843e-03
5.241074233855375075e-02,1.066514924168586731e-01,2.848820686340332031e-01,4.614084493368864059e-03
9.425926647640060774e-02,2.318897992372512817e-01,3.702608644962310791e-01,2.743038162589073181e-02
6.751573980085073812e-02,9.782096743583679199e-02,2.857098579406738281e-01,6.501687690615653992e-03
9.874629682721712542e-02,1.625447869300842285e-01,3.828101754188537598e-01,3.374313563108444214e-02
5.584230592614075617e-02,2.121071219444274902e-01,3.798817396163940430e-01,5.688862409442663193e-03
7.649135368329466889e-02,8.227276057004928589e-02,2.476230114698410034e-01,1.237222342751920223e-03
8.832461117235429482e-02,1.729393452405929565e-01,2.577684819698333740e-01,2.351255854591727257e-03
5.493220707656612523e-02,1.380803883075714111e-01,2.367195487022399902e-01,1.791283255442976952e-03
6.120433645108275256e-02,9.952051192522048950e-02,2.850633561611175537e-01,1.541874837130308151e-03
8.750241686001546115e-02,1.118093505501747131e-01,2.541193664073944092e-01,8.726217783987522125e-03
5.004033135150812162e-02,8.652106672525405884e-02,2.765007615089416504e-01,1.359270536340773106e-03
4.257072336620262853e-02,1.003571823239326477e-01,2.772738635540008545e-01,5.133390077389776707e-04
5.872063515081206442e-02,1.105086132884025574e-01,2.504917979240417480e-01,1.861928147263824940e-03
1.297000374613302420e-01,1.332083791494369507e-01,3.322759270668029785e-01,4.290054738521575928e-02
9.553696587393657735e-02,1.127549186348915100e-01,2.948867380619049072e-01,2.078502438962459564e-02
1.264890123501546670e-01,1.469711363315582275e-01,2.936961948871612549e-01,4.087378829717636108e-02
6.870037884280742746e-02,1.191559806466102600e-01,3.032039701938629150e-01,5.201525054872035980e-03
1.308816554282676015e-01,1.457840502262115479e-01,3.073877692222595215e-01,3.067479282617568970e-02
