zero_crossing_rate,RMS_energy,mean_Chromagram,spectral_flatness
1.830193681119489657e-01,1.161254942417144775e-01,4.877155125141143799e-01,6.650623679161071777e-02
1.528407168406805960e-01,9.729799628257751465e-02,4.769029319286346436e-01,2.908562123775482178e-02
1.283409313370069693e-01,1.328103244304656982e-01,4.324153363704681396e-01,9.325340390205383301e-03
1.666734640854601601e-01,1.501832157373428345e-01,4.875539243221282959e-01,1.881981641054153442e-02
1.923507135779195798e-01,6.347561627626419067e-02,6.347662806510925293e-01,6.974226981401443481e-02
1.343192611658932667e-01,1.218812093138694763e-01,4.224428236484527588e-01,1.226116809993982315e-02
1.980427965487238928e-01,5.047249794006347656e-02,4.340326786041259766e-01,3.777820244431495667e-02
1.683108867459396640e-01,6.949906051158905029e-02,5.814295411109924316e-01,3.168608993291854858e-02
1.405615574245939747e-01,5.840561911463737488e-02,4.666092991828918457e-01,4.416321218013763428e-02
9.464725928074245453e-02,3.128473162651062012e-01,5.271489024162292480e-01,8.596333675086498260e-03
1.964922297950502661e-01,1.181538403034210205e-01,5.418518185615539551e-01,2.553501352667808533e-02
1.714403428315932065e-01,2.307636886835098267e-01,5.109512805938720703e-01,1.824201829731464386e-02
1.768272972254447128e-01,1.143190711736679077e-01,6.050133109092712402e-01,1.840847730636596680e-02
2.035226489994199639e-01,8.633401244878768921e-02,6.362096071243286133e-01,2.877395972609519958e-02
1.852523201856148549e-01,7.759673893451690674e-02,5.526264309883117676e-01,1.597076095640659332e-02
1.692092789298143829e-01,1.109639182686805725e-01,4.851480126380920410e-01,2.202535420656204224e-02
1.795621253866976075e-01,2.697980403900146484e-01,5.019341111183166504e-01,2.595567889511585236e-02
1.587151972157772595e-01,1.138199195265769958e-01,5.810323953628540039e-01,1.856087706983089447e-02
1.802607489849187838e-01,1.184369996190071106e-01,5.555548071861267090e-01,5.373319145292043686e-03
1.614273673143851451e-01,1.009232029318809509e-01,5.552319288253784180e-01,1.987704262137413025e-02
1.523490368812838447e-01,1.173624247312545776e-01,4.959586858749389648e-01,1.770507544279098511e-02
1.915459747196442408e-01,1.084671169519424438e-01,5.255270004272460938e-01,2.198171615600585938e-02
1.069520978344934287e-01,1.988551318645477295e-01,3.700182437896728516e-01,6.214099004864692688e-03
1.317064089085460132e-01,1.952975541353225708e-01,5.272496342658996582e-01,1.306432578712701797e-02
