zcr,rms_energy,mean_chroma,spec_flat,hf_contrast,mf_contrast,lf_contrast
9.779937342904099218e-02,9.415439516305923462e-02,3.291369676589965820e-01,5.489465314894914627e-03,2.598198573100735942e+01,1.597621312777540936e+01,4.766616299116447664e+01
6.396975299690642325e-02,8.202048391103744507e-02,3.489600419998168945e-01,4.373914096504449844e-03,2.954591091512595469e+01,1.734659649147359417e+01,4.616476915913577272e+01
7.510279207753287056e-02,9.248083829879760742e-02,3.785355389118194580e-01,5.658036563545465469e-03,2.605364881563230028e+01,1.412283361453132358e+01,4.583732147591722139e+01
8.490731341840680735e-02,9.422627836465835571e-02,3.914099335670471191e-01,6.009333301335573196e-03,2.626172420918863182e+01,1.667779868634248785e+01,4.555491001456459799e+01
8.445301926237432089e-02,1.011066213250160217e-01,4.019632637500762939e-01,6.591559387743473053e-03,2.541967117675849508e+01,1.633897031138678813e+01,4.667996963586601566e+01
7.301598450792730344e-02,1.003588587045669556e-01,3.647911548614501953e-01,5.193812772631645203e-03,2.823907464225624508e+01,1.571066358836274368e+01,4.696380792725236120e+01
6.082141519238205840e-02,1.051043123006820679e-01,3.424016535282135010e-01,2.965535037219524384e-03,2.939566903163584399e+01,1.680746024986488862e+01,4.689889499206935852e+01
7.387510271655066407e-02,9.061544388532638550e-02,3.860585987567901611e-01,4.954229574650526047e-03,2.609218514236712494e+01,1.585501138379594721e+01,4.671031728557203877e+01
6.943789878190255449e-02,1.020125225186347961e-01,3.688347041606903076e-01,4.130648914724588394e-03,2.771211538072661185e+01,1.669412847251145493e+01,4.674262940453476745e+01
6.057066596577725948e-02,8.670243620872497559e-02,3.831111788749694824e-01,5.366335157305002213e-03,2.424029731988351699e+01,1.588014457942408519e+01,4.537397184698400565e+01
1.027531811919953630e-01,6.165899708867073059e-02,2.947898209095001221e-01,3.600511467084288597e-03,2.889694257089134055e+01,2.065097004216984899e+01,4.650366513532484447e+01
7.027624709976798556e-02,7.840807735919952393e-02,4.185313582420349121e-01,5.162765737622976303e-03,2.207938159069253814e+01,1.600902799124257214e+01,4.496726226213854716e+01
1.137476284561098200e-01,7.558064162731170654e-02,4.271959960460662842e-01,1.289547514170408249e-02,2.442293395239137510e+01,1.481801847578868703e+01,4.489533210500765392e+01
7.061687330819799158e-02,1.116645857691764832e-01,3.621101975440979004e-01,2.733624773100018501e-03,2.644796988412428007e+01,1.584513531251815621e+01,4.618111156348972202e+01
6.409059599767981397e-02,1.142461150884628296e-01,3.951367735862731934e-01,5.528863985091447830e-03,1.822483344069271283e+01,1.769660496715870934e+01,4.491156681008039442e+01
6.818641845514307465e-02,1.318986862897872925e-01,3.585122227668762207e-01,3.969720099121332169e-03,1.881018953096719670e+01,1.655225206263421356e+01,4.644423154596843517e+01
7.924770700406032209e-02,1.856429874897003174e-01,4.193257093429565430e-01,6.463507190346717834e-03,2.084137269340112297e+01,1.596186876965389168e+01,4.866053433051461496e+01
7.795204345514307465e-02,1.397986710071563721e-01,4.257884323596954346e-01,5.074013490229845047e-03,1.889640836678196933e+01,1.560110091884717320e+01,4.800141398723824437e+01
7.740447360788862974e-02,1.064309999346733093e-01,3.946643173694610596e-01,7.362078875303268433e-03,1.753231654836849884e+01,1.491733152439451793e+01,4.590192207152762194e+01
7.128226508120649729e-02,1.386887729167938232e-01,3.941124677658081055e-01,4.462751559913158417e-03,1.883686992923824022e+01,1.706111645744511662e+01,4.641839914815739832e+01
5.675580348511214540e-02,1.393103897571563721e-01,3.707419335842132568e-01,3.115501254796981812e-03,2.013472165228069599e+01,1.651778279263432836e+01,4.739420481332813750e+01
9.282441814095127031e-02,1.551784127950668335e-01,3.900806605815887451e-01,7.420677226036787033e-03,1.564442066357884897e+01,1.537626530735522046e+01,4.885525785874066429e+01
7.230036736272235642e-02,1.822372376918792725e-01,4.555318951606750488e-01,4.978404846042394638e-03,1.981771049739436563e+01,1.543157507043432375e+01,4.835692940770768899e+01
1.202474713602088158e-01,1.078732535243034363e-01,4.286347925662994385e-01,1.253613643348217010e-02,1.871775789633081288e+01,1.472611715474530314e+01,4.528505628013315487e+01
7.214969124613301865e-02,1.237392947077751160e-01,3.486985266208648682e-01,4.306811839342117310e-03,1.995661782934984529e+01,1.706294731051495717e+01,4.744414652390248932e+01
7.374708466260633533e-02,1.268408894538879395e-01,3.624417185783386230e-01,4.239837173372507095e-03,2.064509943491704647e+01,1.764937172510601826e+01,4.725642414280991943e+01
7.454389319895592114e-02,1.343516856431961060e-01,4.028725624084472656e-01,4.571796860545873642e-03,1.960119524300808180e+01,1.595718186698063334e+01,4.656686721108759031e+01
8.734909730278422879e-02,1.279077380895614624e-01,4.037153124809265137e-01,8.034914731979370117e-03,1.880425501434330826e+01,1.584144124482452121e+01,4.509746935491281761e+01
6.780765117459396085e-02,7.286563515663146973e-02,4.876892566680908203e-01,7.130616810172796249e-03,2.788224831826995143e+01,1.628573412177432544e+01,4.153439396236230863e+01
4.365755510440835069e-02,1.038744002580642700e-01,4.288545846939086914e-01,3.219574689865112305e-03,2.940977253049990026e+01,1.538726400110301284e+01,4.334679504285296048e+01
7.047110643851507705e-02,8.047183603048324585e-02,4.876909554004669189e-01,7.369537837803363800e-03,2.823251081473944524e+01,1.602410193589247456e+01,4.187880206353815282e+01
5.865832547853828266e-02,9.204327315092086792e-02,4.900420904159545898e-01,4.245665855705738068e-03,2.757416007430143523e+01,1.739200841447677703e+01,4.259128982947091657e+01
6.583149047757154426e-02,6.391107290983200073e-02,4.869205057621002197e-01,3.799825441092252731e-03,2.761293209491713796e+01,1.605229194444774521e+01,4.235794657825745446e+01
5.911413017208043408e-02,7.423320412635803223e-02,4.465847015380859375e-01,5.077121313661336899e-03,2.882225820872694300e+01,1.521823959473410248e+01,4.234351664607518018e+01
4.460126341357308760e-02,8.248114585876464844e-02,4.706397950649261475e-01,2.988191321492195129e-03,2.805348893666207388e+01,1.623504193183094202e+01,4.373649078169705007e+01
6.128250676720804063e-02,7.324818521738052368e-02,4.583842456340789795e-01,7.014399394392967224e-03,2.761529795714054103e+01,1.526698234298688917e+01,4.298729693055402379e+01
5.920514005703789856e-02,7.998436689376831055e-02,4.346485435962677002e-01,5.272747483104467392e-03,2.746703981695157282e+01,1.848909169018804377e+01,4.249667282817551239e+01
6.325753456109822759e-02,8.649235218763351440e-02,5.176009535789489746e-01,6.024643313139677048e-03,2.640963082234892667e+01,1.528398689544281730e+01,4.138905006010838150e+01
6.552258555684455088e-02,7.582053542137145996e-02,3.737063705921173096e-01,4.505937919020652771e-03,3.023830918593566253e+01,1.668280091936185627e+01,4.420125218940635392e+01
2.593479613785769355e-02,1.038218513131141663e-01,5.073733925819396973e-01,1.765366178005933762e-03,2.578031552395613346e+01,1.717404425559836412e+01,4.110734165993054035e+01
1.010474067092033967e-01,3.906907886266708374e-02,3.025429844856262207e-01,6.619772873818874359e-03,2.270395811799642161e+01,1.835257658959532989e+01,4.371742708662812049e+01
5.900574910576179138e-02,1.199925765395164490e-01,3.736555576324462891e-01,8.776441216468811035e-03,2.525106784862722620e+01,1.793320227985440241e+01,2.730231973837030424e+01
1.056345314916860012e-01,7.131086289882659912e-02,4.334669411182403564e-01,3.383447229862213135e-02,2.075839774453293884e+01,1.581297911687093283e+01,2.491788457146830993e+01
7.601289092710750150e-02,1.107073873281478882e-01,3.347341120243072510e-01,3.385267918929457664e-03,2.418552225229787567e+01,1.598343585094059982e+01,3.229376097317962291e+01
8.757227921983758157e-02,1.525107771158218384e-01,4.492127001285552979e-01,3.886469826102256775e-02,2.306369630456231334e+01,1.507948100900857114e+01,2.267489131745850983e+01
2.237736701227764913e-01,9.124011546373367310e-02,4.576181471347808838e-01,1.240562126040458679e-01,1.969433190893523999e+01,1.537064621082868676e+01,2.048731861951899802e+01
8.096405524941995002e-02,9.349060803651809692e-02,3.242886662483215332e-01,2.374168485403060913e-02,2.481573608096046968e+01,1.691249902770171687e+01,2.430514504644581208e+01
1.149432188950116063e-01,1.092993095517158508e-01,3.425722718238830566e-01,2.680185623466968536e-02,2.164785797335775541e+01,1.728964026254156394e+01,2.647406952556735860e+01
1.111676303895978296e-01,1.202217340469360352e-01,3.901774287223815918e-01,3.073415718972682953e-02,2.153790209260234079e+01,1.639535026549872043e+01,2.688740339527280909e+01
8.068951505703789162e-02,1.329795122146606445e-01,3.707194328308105469e-01,2.122303098440170288e-02,2.462234842085847575e+01,1.652375964189490176e+01,2.471764526267096684e+01
1.270365821974091258e-01,1.310304850339889526e-01,4.600170254707336426e-01,9.026984870433807373e-02,2.255583076142459831e+01,1.645235102614730494e+01,2.286969371165681153e+01
2.746308246326372715e-01,1.175030395388603210e-01,5.695055127143859863e-01,1.317163854837417603e-01,1.692476130315552041e+01,1.190197265793382364e+01,1.919724947219406985e+01
1.340670014017787959e-01,1.899878978729248047e-01,5.022619962692260742e-01,6.091706454753875732e-02,1.589562488927431616e+01,1.434864139964024154e+01,2.093041226542517208e+01
8.975349538379737147e-02,6.308438628911972046e-02,4.692222774028778076e-01,2.659859694540500641e-02,2.128722920635670235e+01,1.279470177433987566e+01,2.998027780898759076e+01
1.015772277407192559e-01,9.691649675369262695e-02,3.963613808155059814e-01,3.498828411102294922e-02,1.936370996870406103e+01,1.649894158107569808e+01,2.566877599942794674e+01
8.219627622293117220e-02,1.129470691084861755e-01,4.617610573768615723e-01,3.359024226665496826e-02,2.039749971332515344e+01,1.524973972393901889e+01,2.301980142368939397e+01
8.315697807907966588e-02,1.005154848098754883e-01,3.703933060169219971e-01,2.777940966188907623e-02,1.887907359954784070e+01,1.535818184899800443e+01,2.635579705344102663e+01
7.884288295146944792e-02,1.033797860145568848e-01,3.728791475296020508e-01,2.428618073463439941e-02,1.915169987382222772e+01,1.623691542969620016e+01,2.678449273225429295e+01
1.119542427977571475e-01,9.119109064340591431e-02,3.717370629310607910e-01,3.266115859150886536e-02,1.824089421548013235e+01,1.523444601569385526e+01,2.453256875318482955e+01
1.173619670823665834e-01,1.264568567276000977e-01,3.758556842803955078e-01,5.019862949848175049e-02,1.848872147970673652e+01,1.558313212883371435e+01,2.467520838672103523e+01
1.185020452677880837e-01,2.582646161317825317e-02,2.990815937519073486e-01,1.709208637475967407e-02,2.122595692163923786e+01,2.000945649713101560e+01,2.988034723617114707e+01
1.335428448859242168e-01,1.810396611690521240e-01,3.954855203628540039e-01,4.917266219854354858e-02,2.593909953222952325e+01,1.584662120094487925e+01,2.339963452391187815e+01
6.084407325502706743e-02,5.732946097850799561e-02,4.449632763862609863e-01,2.652511186897754669e-02,1.956243472574485054e+01,1.601920834958167816e+01,2.302524974719932160e+01
8.333522150522042204e-02,9.760171175003051758e-02,4.160794317722320557e-01,1.611661911010742188e-02,1.727532901588254433e+01,1.554466427597013478e+01,2.859738571172484001e+01
1.008642540361562312e-01,2.678528130054473877e-01,4.166658520698547363e-01,3.300797194242477417e-02,2.803125609379194927e+01,1.823610541419643738e+01,2.275275746201000615e+01
8.282126111755606923e-02,2.981976866722106934e-01,3.758746087551116943e-01,2.577845007181167603e-02,1.896146765171624438e+01,1.692305040479427802e+01,2.712799896690276569e+01
6.708825768561485492e-02,1.291678249835968018e-01,3.893249630928039551e-01,8.875977247953414917e-03,2.407052441852513880e+01,1.682007272898657746e+01,3.357602612480651061e+01
6.046832704949729048e-02,1.401448249816894531e-01,3.960725665092468262e-01,9.811619296669960022e-03,1.803228520488476860e+01,1.630740809385060075e+01,2.681044607812127722e+01
7.783120045436968393e-02,9.535842388868331909e-02,3.585075139999389648e-01,1.990751177072525024e-02,2.103657047528556845e+01,1.817010163722759586e+01,2.756334533383980911e+01
8.037456798627223842e-02,1.258050352334976196e-01,3.626291453838348389e-01,2.042693644762039185e-02,2.330881123598737048e+01,1.683241597818383184e+01,2.501060591451835791e+01
6.098568614655839465e-02,1.491104662418365479e-01,3.807733952999114990e-01,1.528907660394906998e-02,2.917604094810374349e+01,1.713888451177904670e+01,2.498957140631377882e+01
1.215892063031709242e-01,1.508352905511856079e-01,4.087685346603393555e-01,5.033602938055992126e-02,2.689935375947515084e+01,1.695155188848042016e+01,2.263331024671524005e+01
1.361556971432714702e-01,1.429285407066345215e-01,4.328457713127136230e-01,6.552591174840927124e-02,2.599817025901939616e+01,1.515502745088941872e+01,2.251510347462062711e+01
5.103162159222737748e-02,1.922605931758880615e-01,4.493522942066192627e-01,1.225123554468154907e-02,2.491191845034621011e+01,1.506178772227930729e+01,2.416822868579605554e+01
5.099348052010827664e-02,1.922519207000732422e-01,4.543463587760925293e-01,1.221765577793121338e-02,2.490024109061777580e+01,1.507288569171243786e+01,2.416940906761696795e+01
1.350122202484532186e-01,1.709813177585601807e-01,3.896530866622924805e-01,3.093437105417251587e-02,2.038901864508294892e+01,1.351621537050997546e+01,2.743565531851954375e+01
8.823842626160093017e-02,2.108802646398544312e-01,4.405545294284820557e-01,3.728266805410385132e-02,2.050690769914032430e+01,1.657452926480211275e+01,2.416893802451845730e+01
6.088825647718484196e-02,1.165787652134895325e-01,3.954066932201385498e-01,9.659491479396820068e-03,2.028374329940297471e+01,1.637097614042955840e+01,2.567360451138875632e+01
