zcr,rms_energy,mean_chroma,spec_flat,hf_contrast,mf_contrast,lf_contrast
9.022025147428461289e-02,1.291273534297943115e-01,3.875771164894104004e-01,6.142711266875267029e-03,1.875581359170132956e+01,1.699214528154729820e+01,4.821468632076923910e+01
5.495977438611755750e-02,1.804696619510650635e-01,3.653957545757293701e-01,2.923248102888464928e-03,2.612868980652690354e+01,1.749812370563376618e+01,4.914442618412911656e+01
7.680441258217324263e-02,1.486621499061584473e-01,4.368056058883666992e-01,7.012433838099241257e-03,2.006273266560744517e+01,1.656661005023804734e+01,4.769873521246503145e+01
4.309865622583140127e-02,1.512994766235351562e-01,3.799488842487335205e-01,3.160137450322508812e-03,2.076435691145832507e+01,1.652887526336434831e+01,4.672346725946545121e+01
4.107944520978344671e-02,2.087391763925552368e-01,3.727978765964508057e-01,1.864006277173757553e-03,2.487084190336894807e+01,1.780544797762319220e+01,4.812162597377078299e+01
7.702117471481051414e-02,2.038401514291763306e-01,3.767347931861877441e-01,2.414731774479150772e-03,2.663902321154073505e+01,1.526018071486442729e+01,5.202213132841351495e+01
8.730529171500386876e-02,1.800919771194458008e-01,3.445343077182769775e-01,2.185332123190164566e-03,2.072845783975403577e+01,1.938341998253116927e+01,5.167929606252201324e+01
4.717975094257540608e-02,1.570971459150314331e-01,3.591925799846649170e-01,1.901270356029272079e-03,2.583461672705908541e+01,1.858597483811358586e+01,4.855893683438657860e+01
8.495074137180974594e-02,2.609431445598602295e-01,4.087803363800048828e-01,4.039701540023088455e-03,2.838669507862588048e+01,1.488450870632093093e+01,5.275619078115872185e+01
4.253295992846094220e-02,1.282487213611602783e-01,3.762707710266113281e-01,2.343592932447791100e-03,2.834683579766044659e+01,1.811429188281196545e+01,4.770512054654857081e+01
7.170823665893270860e-02,1.535139679908752441e-01,3.982411921024322510e-01,4.462182987481355667e-03,2.028270611148491298e+01,1.745969173964687116e+01,4.801638044743496181e+01
5.433025787896365172e-02,1.234158203005790710e-01,3.432268500328063965e-01,2.355918055400252342e-03,2.066689141917491312e+01,1.902812241700555518e+01,4.642795412961184098e+01
6.822493716163960387e-02,7.591646164655685425e-02,3.388158977031707764e-01,5.656256340444087982e-03,1.939711466596878608e+01,1.917960063576729723e+01,4.391505804544885905e+01
4.610991275135344070e-02,1.337149590253829956e-01,4.403675496578216553e-01,2.766573335975408554e-03,1.968651992954853824e+01,1.888407852581982738e+01,4.377034396156574303e+01
8.357917331303170438e-02,5.365990474820137024e-02,3.806428015232086182e-01,6.843038834631443024e-03,1.747109715664146634e+01,1.785971189905907508e+01,4.276618568146027854e+01
1.141600051962490397e-01,8.230483531951904297e-02,3.437314331531524658e-01,1.120403781533241272e-02,1.650767116658545675e+01,1.852922532225908014e+01,4.658164332948911124e+01
1.428334058391337869e-01,1.845526844263076782e-01,4.615265727043151855e-01,1.439876388758420944e-02,1.952038862782012529e+01,1.306586242817725463e+01,5.062498159589999602e+01
1.405475849526295340e-01,1.660961508750915527e-01,4.188845157623291016e-01,1.003908645361661911e-02,1.993691702111026132e+01,1.436120022373905769e+01,5.097168412799048554e+01
1.157800566753673654e-01,1.407261490821838379e-01,4.802930355072021484e-01,1.128171849995851517e-02,1.913368333103407082e+01,1.287028906430929709e+01,4.880020699387271321e+01
1.281906328547950391e-01,1.122645884752273560e-01,4.358674585819244385e-01,1.139294635504484177e-02,2.086533673706022540e+01,1.326703155003344925e+01,4.829462793286138123e+01
1.175330354553364293e-01,1.525495648384094238e-01,3.979596793651580811e-01,1.047619152814149857e-02,1.764831563411982884e+01,1.407137043163285917e+01,5.014297218482583673e+01
1.215684364124129946e-01,1.615190356969833374e-01,3.929155468940734863e-01,7.662934716790914536e-03,1.657887885989852705e+01,1.386158947441227696e+01,5.101291617931650535e+01
1.384430285672853811e-01,1.739187240600585938e-01,4.157695472240447998e-01,1.223845221102237701e-02,1.616416381567422533e+01,1.309803730238006558e+01,5.120457414483883696e+01
1.155670708865042529e-01,1.357575953006744385e-01,2.942067086696624756e-01,7.616731803864240646e-03,1.940172490739256617e+01,1.715032652137449531e+01,5.011366943538619978e+01
1.434304457898298579e-01,1.566424816846847534e-01,4.050623774528503418e-01,8.173044770956039429e-03,1.876108312816325352e+01,1.496275344489594517e+01,5.048113733478174225e+01
1.578281340632250451e-01,1.491993367671966553e-01,4.150352776050567627e-01,1.243275031447410583e-02,2.009019371325275927e+01,1.360192964355531942e+01,5.050638481032759586e+01
1.229060173772235087e-01,1.527195870876312256e-01,3.832652568817138672e-01,9.444554336369037628e-03,1.934488013668268991e+01,1.456284755329765268e+01,5.000901231606124497e+01
1.334220957091718229e-01,7.920479029417037964e-02,4.025291800498962402e-01,4.023619741201400757e-02,1.759501024995280716e+01,1.600199482468035228e+01,2.577741996774543765e+01
1.019711003963650470e-01,1.388558596372604370e-01,4.428023099899291992e-01,1.781918294727802277e-02,1.969815245262033443e+01,1.622137322490536704e+01,2.837840975627846873e+01
1.115014591792343329e-01,1.801640987396240234e-01,4.183725714683532715e-01,3.681036084890365601e-02,2.038241165082274975e+01,1.415555893595940162e+01,2.520108452811886224e+01
1.149171621229698320e-01,9.653656184673309326e-02,3.903474211692810059e-01,3.817927092313766479e-02,2.319872961120806210e+01,1.535092544187476982e+01,2.322878787762741482e+01
1.324454393851507983e-01,1.262174397706985474e-01,3.691340684890747070e-01,4.693321883678436279e-02,1.827204818997335778e+01,1.491084498931322422e+01,2.531584818112077784e+01
1.158970956583969397e-01,2.219422012567520142e-01,3.831846415996551514e-01,2.710533142089843750e-02,1.919802502616251161e+01,1.609011337086422699e+01,2.640261920658041461e+01
7.487394564481825165e-02,1.279601603746414185e-01,3.233828246593475342e-01,9.545895271003246307e-03,2.076639805984711273e+01,1.473734691172398037e+01,3.015294503629676370e+01
1.349253989870030646e-01,1.911093294620513916e-01,4.215246438980102539e-01,4.302025586366653442e-02,2.066018280170591126e+01,1.650544350441683505e+01,2.430317518761772178e+01
5.698049593967517701e-02,1.241581365466117859e-01,4.572056233882904053e-01,1.486370712518692017e-02,2.002597390811525457e+01,1.456421372941099612e+01,2.479509111223324069e+01
1.470474886254789226e-01,2.163953930139541626e-01,4.279132783412933350e-01,5.655746906995773315e-02,1.966440872288167796e+01,1.493163475791409844e+01,2.481028503289580556e+01
1.462710115767594798e-01,1.134131997823715210e-01,4.518257379531860352e-01,4.879784211516380310e-02,2.296151288724965411e+01,1.483214781705556362e+01,2.468097655219238717e+01
1.405501705205108309e-01,2.193866372108459473e-01,4.115391075611114502e-01,4.875651001930236816e-02,1.853824033342644029e+01,1.393145814453913545e+01,2.440182040601468216e+01
1.227594952387857652e-01,1.443831771612167358e-01,4.425903260707855225e-01,3.842797875404357910e-02,2.946979542274043595e+01,1.477883229554382361e+01,2.403632569003690733e+01
1.447517884764114582e-01,1.429349631071090698e-01,4.160886704921722412e-01,6.103103235363960266e-02,3.199691223311598520e+01,1.417345367202171325e+01,2.224344663279530820e+01
1.483555533401005322e-01,1.607728749513626099e-01,4.021728932857513428e-01,5.269217863678932190e-02,2.909833495700854300e+01,1.450800295801611561e+01,2.385057031773139613e+01
1.376552832559938266e-01,1.189985871315002441e-01,4.444281458854675293e-01,6.590057164430618286e-02,2.276347654443829072e+01,1.479615176029886570e+01,2.279227937721895358e+01
1.439568681119489657e-01,1.398583352565765381e-01,4.201561510562896729e-01,5.754708871245384216e-02,2.380984074233656500e+01,1.346511491072139854e+01,2.406337965872114992e+01
6.890203560034802166e-02,1.443563103675842285e-01,3.116941154003143311e-01,7.303598802536725998e-03,2.687673737537434704e+01,1.594875535245161480e+01,2.960608668618624506e+01
7.895466272718483502e-02,9.699480235576629639e-02,3.612337708473205566e-01,1.833276008255779743e-03,2.811194605645814448e+01,1.695588988695964261e+01,3.446967539656537838e+01
1.181844547563805081e-01,1.206800043582916260e-01,3.614591658115386963e-01,3.428927809000015259e-02,2.695280325672884558e+01,1.427471293808919484e+01,2.571303196151102455e+01
1.562231879592033967e-01,1.389689147472381592e-01,4.613592922687530518e-01,6.234869733452796936e-02,2.533927470317387076e+01,1.266959239759268918e+01,2.246894619564195494e+01
8.525284887374323661e-02,1.456114202737808228e-01,3.216451108455657959e-01,5.645031109452247620e-03,2.728139472532255638e+01,1.612502798057382236e+01,3.307440374071947531e+01
9.133351761890950993e-02,1.010172516107559204e-01,3.962851762771606445e-01,3.241398558020591736e-02,1.713322167684851749e+01,1.559932011160236875e+01,2.708665981826571567e+01
5.330347000676721042e-02,1.413021236658096313e-01,3.944813907146453857e-01,1.228388398885726929e-02,1.609469035309193430e+01,1.613453873264229088e+01,2.636465949180027124e+01
1.208581061484918784e-01,1.617597937583923340e-01,3.687413632869720459e-01,6.320989131927490234e-02,1.803132644683267571e+01,1.518724373024238439e+01,2.137508501188242249e+01
8.856659053557618122e-02,1.133979707956314087e-01,3.406063318252563477e-01,3.334572166204452515e-02,1.890754450694861077e+01,1.716635326711989862e+01,2.631452909929213391e+01
1.875475819315545190e-01,1.902275085449218750e-01,4.091809988021850586e-01,1.174234300851821899e-01,1.750776848215275550e+01,1.508282656789021914e+01,2.089588481797536801e+01
1.324031443348801240e-01,6.548378616571426392e-02,3.466607928276062012e-01,3.914505615830421448e-02,2.196698081006599779e+01,1.806127125597243221e+01,2.611226832136356180e+01
6.657807364172467490e-02,1.471848189830780029e-01,4.316466748714447021e-01,1.477274671196937561e-02,1.675720871600762152e+01,1.332882346569601850e+01,2.774173296673764000e+01
1.775334735112142348e-01,1.757503598928451538e-01,4.883268177509307861e-01,1.130558252334594727e-01,1.657129722738235245e+01,1.337203376524432663e+01,2.038157874582147855e+01
1.750701644673240409e-01,1.226449310779571533e-01,3.900141119956970215e-01,8.649243414402008057e-02,1.653501048470456780e+01,1.473119885940658769e+01,2.164843706823827318e+01
9.895493462393657735e-02,8.749311417341232300e-02,3.010640442371368408e-01,2.429583109915256500e-02,1.882714696386484121e+01,1.607360879648806673e+01,2.632883417009509230e+01
8.653680575696055810e-02,5.121036246418952942e-02,3.394229412078857422e-01,2.102646604180335999e-02,1.863059931157395610e+01,1.778496642672637762e+01,2.505421956856481103e+01
1.346440267304717664e-01,1.033264994621276855e-01,4.055355191230773926e-01,5.472116172313690186e-02,1.596914252784698363e+01,1.379063409325871170e+01,2.378537847998209998e+01
